AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street,Month
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27.0,F,RESTAURANT/FAST FOOD,MACE/PEPPER SPRAY,Adult Arrest,400 S  MAIN                         ST,,03
Newton,BATTERY - SIMPLE ASSAULT,32.0,F,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 E  8TH                          ST,,03
Central,ROBBERY,33.0,M,OTHER RESIDENCE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5TH,WALL,03
Central,THROWING OBJECT AT MOVING VEHICLE,26.0,M,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,CESAR E CHAVEZ,FIGUEROA                     ST,03
Central,BURGLARY FROM VEHICLE,48.0,M,STREET,,Adult Arrest,BARTLETT,FIGUEROA,03
Northeast,OTHER MISCELLANEOUS CRIME,,M,SIDEWALK,,Invest Cont,WAVERLY,SUNSET                       BL,03
Central,BATTERY - SIMPLE ASSAULT,65.0,M,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  BROADWAY,,03
Central,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),23.0,M,DEPARTMENT STORE,,Invest Cont,700 W  7TH                          ST,,03
Central,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,5.0,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1800 S  MAIN                         ST,,03
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4TH                          ST,GRAND                        AV,03
Central,THEFT PLAIN - PETTY ($950 & UNDER),23.0,M,OTHER BUSINESS,,Adult Arrest,700 W  7TH                          ST,,03
Central,BURGLARY,57.0,M,OTHER BUSINESS,,Invest Cont,200 W  WASHINGTON                   BL,,03
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",62.0,M,SINGLE FAMILY DWELLING,,Invest Cont,1200    INNES                        AV,,03
Central,BATTERY - SIMPLE ASSAULT,58.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5TH,WALL,03
Central,OTHER MISCELLANEOUS CRIME,32.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Adult Arrest,900    GEORGIA                      ST,,03
Central,INTIMATE PARTNER - SIMPLE ASSAULT,32.0,F,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,900 W  OLYMPIC                      BL,,03
Central,BATTERY - SIMPLE ASSAULT,56.0,M,JEWELRY STORE,MACE/PEPPER SPRAY,Invest Cont,600 S  HILL                         ST,,03
Central,OTHER MISCELLANEOUS CRIME,46.0,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,100 E  3RD                          ST,,03
Central,SHOTS FIRED AT INHABITED DWELLING,18.0,F,WAREHOUSE,HAND GUN,Invest Cont,500 E  4TH                          ST,,03
Central,OTHER MISCELLANEOUS CRIME,45.0,M,RESTAURANT/FAST FOOD,,Invest Cont,800 W  OLYMPIC                      BL,,03
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,M,OTHER BUSINESS,,Invest Cont,SAN PEDRO                    ST,9TH                          ST,04
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,59.0,M,SINGLE FAMILY DWELLING,VERBAL THREAT,Adult Arrest,700    ALPINE                       ST,,03
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),31.0,F,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,COLLEGE,HILL,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24.0,M,OTHER PREMISE,STICK,Adult Arrest,500 S  SAN PEDRO,,04
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),46.0,M,PARKING LOT,,Invest Cont,100 N  BROADWAY,,04
Central,VEHICLE - STOLEN,31.0,M,STREET,,Invest Cont,FRANCISCO                    ST,8TH                          ST,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,200 W  6TH                          ST,,04
Central,ROBBERY,61.0,M,OTHER STORE,HAND GUN,Invest Cont,100 E  3RD                          ST,,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30.0,M,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,300 W  2ND                          ST,,04
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",23.0,F,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,YALE,COLLEGE,04
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,27.0,M,SPECIALTY SCHOOL/OTHER,VERBAL THREAT,Invest Cont,900 E  3RD                          ST,,04
Central,OTHER MISCELLANEOUS CRIME,,M,STREET,,Adult Arrest,200 E  6TH                          ST,,04
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41.0,M,OTHER BUSINESS,,Invest Cont,700 S  FIGUEROA                     ST,,04
Central,BURGLARY FROM VEHICLE,32.0,M,STREET,,Invest Cont,SAN JULIAN                   ST,6TH                          ST,04
Central,THEFT PLAIN - PETTY ($950 & UNDER),54.0,M,SIDEWALK,,Adult Arrest,600 S  SPRING                       ST,,04
