,Date Rptd,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street
2501,5/8/2010 0:00,Central,OTHER MISCELLANEOUS CRIME,42,M,W,STREET,,Adult Other,1000    SANTEE                       ST,
2502,5/8/2010 0:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,M,H,SIDEWALK,FOLDING KNIFE,Invest Cont,500 S  LOS ANGELES                  ST,
2503,5/8/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),36,F,H,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,100 E  ANN                          ST,
2504,5/8/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),30,F,O,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,1ST,CENTRAL
2505,5/8/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),56,M,B,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,600 E  2ND                          ST,
2506,5/8/2010 0:00,Central,BURGLARY FROM VEHICLE,29,F,H,PARKING LOT,,Invest Cont,500 N  FIGUEROA                     ST,
2507,5/8/2010 0:00,Central,BURGLARY FROM VEHICLE,53,F,W,PARK/PLAYGROUND,,Invest Cont,1200 N  SPRING                       ST,
2508,5/8/2010 0:00,Central,PURSE SNATCHING,42,F,O,OTHER BUSINESS,,Invest Cont,1100 S  LOS ANGELES                  ST,
2509,5/8/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",42,F,H,PARKING UNDERGROUND/BUILDING,,Invest Cont,1100 S  GRAND                        AV,
2510,5/8/2010 0:00,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,56,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",VERBAL THREAT,Invest Cont,400 E  5TH                          ST,
2511,5/8/2010 0:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,49,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,HILL                         ST,OLYMPIC                      BL
2512,5/8/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,52,M,H,PARK/PLAYGROUND,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,100    PASEO DE LA PLAZA,
2513,5/9/2010 0:00,Central,BURGLARY FROM VEHICLE,41,F,H,STREET,,Invest Cont,COTTAGE HOME,BROADWAY
2514,5/9/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,12,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1400    WRIGHT                       ST,
2515,5/8/2010 0:00,Central,BURGLARY FROM VEHICLE,46,M,W,STREET,,Invest Cont,GRAND                        AV,KOSCIUSZKO                   WY
2516,5/9/2010 0:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,31,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,900    CENTENNIAL                   ST,
2517,5/9/2010 0:00,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",60,M,O,OTHER BUSINESS,,Invest Cont,100 S  MAIN                         ST,
2518,5/9/2010 0:00,Central,BURGLARY FROM VEHICLE,40,M,W,STREET,,Invest Cont,INDUSTRIAL,MILL
2519,5/9/2010 0:00,Central,BURGLARY FROM VEHICLE,23,M,B,STREET,,Invest Cont,4TH,MATEO
2520,5/9/2010 0:00,Central,BURGLARY FROM VEHICLE,22,F,H,STREET,,Invest Cont,FREMONT,TEMPLE
2521,5/9/2010 0:00,Central,VEHICLE - STOLEN,0,,,PARKING LOT,,Invest Cont,11TH                         ST,GRAND                        ST
2522,5/9/2010 0:00,Central,ROBBERY,18,M,H,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,9TH,GRAND
2523,5/9/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),19,M,H,SIDEWALK,,Invest Cont,5TH,LOS ANGELES
2524,5/9/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),60,F,H,PARK/PLAYGROUND,,Invest Cont,5TH,SAN JULIAN
2525,5/9/2010 0:00,Central,BURGLARY FROM VEHICLE,29,F,O,PARKING UNDERGROUND/BUILDING,,Invest Cont,600 E  2ND                          ST,
2526,5/9/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,44,F,H,RESTAURANT/FAST FOOD,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,400 E  1ST                          ST,
2527,5/9/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,35,M,H,RESTAURANT/FAST FOOD,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,400 E  1ST                          ST,
2528,5/9/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,38,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3RD,GRAND
2529,5/9/2010 0:00,Central,VEHICLE - STOLEN,0,,,STREET,,Adult Arrest,500    MOLINO                       ST,
2530,5/10/2010 0:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,W,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH,SAN JULIAN
2531,5/10/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,24,M,W,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1000    SANTEE                       ST,
2532,5/10/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,24,F,W,ALLEY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,100 W  5TH                          ST,
2533,5/10/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,51,M,W,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5TH                          ST,BROADWAY
2534,5/10/2010 0:00,Central,ROBBERY,22,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",HAND GUN,Invest Cont,5TH                          ST,SPRING                       ST
2535,5/10/2010 0:00,Central,ROBBERY,0,M,W,BANK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,500 S  HILL                         ST,
2536,5/10/2010 0:00,Central,BURGLARY,54,F,A,OTHER BUSINESS,,Invest Cont,1100 S  MAIN                         ST,
2537,5/10/2010 0:00,Central,BURGLARY FROM VEHICLE,61,M,W,STREET,,Invest Cont,900    JAMES M WOOD                 BL,
2538,5/10/2010 0:00,Central,BURGLARY,61,M,O,OTHER BUSINESS,,Invest Cont,1100 S  MAIN                         ST,
2539,5/10/2010 0:00,Central,THEFT OF IDENTITY,27,M,W,SIDEWALK,,Invest Cont,800 W  7TH                          ST,
2540,5/10/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),23,F,W,STREET,,Invest Cont,500 S  SAN PEDRO                    ST,
2541,5/9/2010 0:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,M,H,STREET,ROCK/THROWN OBJECT,Invest Cont,900 E  3RD                          ST,
2542,5/9/2010 0:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,M,H,STREET,ROCK/THROWN OBJECT,Invest Cont,900 E  3RD                          ST,
2544,5/10/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),29,F,O,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,800 W  OLYMPIC                      BL,
2545,5/10/2010 0:00,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),26,M,H,OTHER STORE,,Invest Cont,6TH,S  BROADWAY
2546,5/10/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,27,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,900 E  3RD                          ST,
2547,5/10/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,38,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,900 E  3RD                          ST,
2548,5/10/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,36,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,900 E  3RD                          ST,
2549,5/10/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,20,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,900 E  3RD                          ST,
2550,5/10/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),35,F,H,OTHER BUSINESS,,Invest Cont,300 S  LOS ANGELES                  ST,
2551,5/10/2010 0:00,Central,BATTERY WITH SEXUAL CONTACT,24,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 W  8TH                          ST,
2552,5/10/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),35,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,700 S  MAIN                         ST,
2553,5/11/2010 0:00,Central,BURGLARY FROM VEHICLE,25,M,H,PARKING LOT,,Invest Cont,12TH                         ST,CHERRY                       ST
2554,5/11/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),37,M,W,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,1700    NAUD                         ST,
2555,5/11/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),61,M,H,OTHER BUSINESS,,Invest Cont,500 S  SPRING                       ST,
2556,5/11/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40,M,W,PARKING LOT,,Invest Cont,200 W  7TH                          ST,
2557,5/11/2010 0:00,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),35,F,H,STREET,,Invest Cont,1ST                          ST,GAREY                        ST
2558,5/11/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",22,F,H,SIDEWALK,,Invest Cont,HILL                         ST,8TH                          ST
2559,5/11/2010 0:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),33,M,W,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,200 N  SPRING                       ST,
2560,5/11/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),25,F,H,MINI-MART,,Invest Cont,700 W  7TH                          ST,
2561,5/11/2010 0:00,Central,PURSE SNATCHING,33,F,H,BUS STOP,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,WILSHIRE                     BL,FIGUEROA                     ST
2562,5/12/2010 0:00,Central,VEHICLE - STOLEN,0,,,STREET,,Invest Cont,300 S  HEWITT                       ST,
2563,5/12/2010 0:00,Central,OTHER MISCELLANEOUS CRIME,9,M,H,SIDEWALK,,Adult Arrest,5TH,SAN JULIAN
2564,5/12/2010 0:00,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,DEPARTMENT STORE,,Adult Arrest,700 W  7TH                          ST,
2565,5/11/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),50,F,H,OFFICE BUILDING/OFFICE,,Invest Cont,1100 S  BROADWAY,
2566,5/11/2010 0:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",55,M,H,BAR/COCKTAIL/NIGHTCLUB,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,300 S  BROADWAY,
2567,8/5/2010 0:00,Rampart,VEHICLE - STOLEN,0,,,STREET,,Invest Cont,300    UNION                        PL,
2568,5/11/2010 0:00,Central,OTHER MISCELLANEOUS CRIME,52,M,O,OFFICE BUILDING/OFFICE,,Invest Cont,600    WILSHIRE                     BL,
2569,5/12/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),54,F,W,OFFICE BUILDING/OFFICE,,Invest Cont,900 S  GRAND                        AV,
2570,5/10/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),39,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1100 E  7TH                          ST,
2571,5/10/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),39,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1100 E  7TH                          ST,
2572,5/12/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,53,M,H,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  FIGUEROA                     ST,
2573,5/12/2010 0:00,Central,BATTERY WITH SEXUAL CONTACT,32,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH,LOS ANGELES
2574,5/12/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1000 S  HOPE                         ST,
2575,5/12/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",30,F,O,SINGLE FAMILY DWELLING,,Invest Cont,1100 S  GRAND                        AV,
2576,5/12/2010 0:00,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),28,M,H,STREET,,Invest Cont,600 S  CENTRAL                      AV,
2577,5/12/2010 0:00,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),31,F,O,PARKING LOT,,Invest Cont,200    BOYD                         ST,
2578,5/12/2010 0:00,Central,OTHER MISCELLANEOUS CRIME,42,M,W,ALLEY,,Adult Other,1000    MAPLE                        AV,
2579,5/12/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,16,M,H,HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,400 N  GRAND                        AV,
2580,5/12/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,50,M,B,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH,SAN JULIAN
2581,5/12/2010 0:00,Central,CHILD ANNOYING (17YRS & UNDER),17,F,H,STREET,,Invest Cont,PARK ROW,BROADWAY
2582,5/13/2010 0:00,Central,BURGLARY,41,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1000    WHITE KNOLL                  DR,
2583,5/13/2010 0:00,Central,BURGLARY FROM VEHICLE,43,M,H,STREET,,Invest Cont,1300 S  HILL                         ST,
2584,5/13/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,48,M,H,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 E  5TH                          ST,
2585,5/13/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,73,M,B,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,600 S  SAN PEDRO                    ST,
2586,5/13/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",50,F,A,OTHER BUSINESS,,Invest Cont,500 S  LOS ANGELES                  ST,
2587,5/13/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",44,M,O,OTHER BUSINESS,,Adult Arrest,500    MATEO                        ST,
2588,5/13/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),54,M,B,OTHER BUSINESS,,Invest Cont,200 N  SPRING                       ST,
2589,5/12/2010 0:00,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",39,F,H,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,FIGUEROA                     ST,11TH                         ST
2590,5/13/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),51,F,B,OTHER RESIDENCE,,Invest Cont,800 E  6TH                          ST,
2591,5/13/2010 0:00,Central,BURGLARY FROM VEHICLE,21,F,O,STREET,,Invest Cont,200 S  SANTA FE                     AV,
